makona	8.6166697	-11.83333
kenema	7.8766699	-11.1875
port-loko	8.7666702	-12.78333
koinadugu	9.53333	-11.36667
moyamba	8.1666698	-12.43333
kailahun	8.28333	-10.56667
kambia	9.1166697	-12.91667
river-gee	5.25	-7.9166698
montserrado	6.5	-10.5
margibi	6.5	-10.25
grand-bassa	6.25	-9.75
grand-kru	4.9166698	-8.25
kissidougou	9.25	-9.9166698
gueckedou	8.56744	-10.1336
forecariah	9.4305601	-13.08806
coyah	9.75	-13.41667
kerouane	9.2666702	-9.0166702
kindia	10.08333	-12.8
lomela	-2.28054	23.365959
lagos	6.5833302	3.75
port-harcourt	4.77742	7.0134001
